"STUDENT_ID","SEX","MAJOR_1","MAJOR_2","INTENDED_LANGUAGE","SECTION_ID","PROF_ID","PROF_DISCIPLINE","DISCIPLINE_SIZE","PROF_LANGUAGE"
"S_159","M","Marine Science","","Spanish","C_017","P_017","Philosophy","SMALL","N/A"
"S_160","F","Marine Science","Philosophy","Spanish","C_007","P_007","Theatre","SMALL","N/A"
"S_161","M","Biology","","Japanese","C_006","P_006","Italian","N/A","Italian"
"S_162","M","Biochemistry","","Spanish","C_006","P_006","Italian","N/A","Italian"
"S_163","F","Marine Science","","Spanish","C_007","P_007","Theatre","SMALL","N/A"
"S_164","F","Biology","International Business","Latin","C_015","P_015","International Business","SMALL","N/A"
"S_165","F","Marine Science","","Undecided","C_014","P_014","History","SMALL","N/A"
"S_166","F","Biochemistry","Animal Studies","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_167","F","Marine Science","Animal Studies","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_168","F","Marine Science","","Undecided","C_011","P_011","Literature","SMALL","N/A"
"S_169","F","Economics","","Spanish","C_009","P_009","French","SMALL","French"
"S_170","F","Marine Science","","Spanish","C_014","P_014","History","SMALL","N/A"
"S_171","M","Marine Science","","Undecided","C_008","P_008","Economics","SMALL","N/A"
"S_172","M","Marine Science","Animal Studies","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_173","F","Environmental Studies","","Undecided","C_008","P_008","Economics","SMALL","N/A"
"S_174","F","Marine Science","Marine Science","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_175","F","Biology","Pre-Veterinary","Undecided","C_019","P_019","Biology","BIG","N/A"
"S_176","F","Marine Science","","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_177","F","Marine Science","","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_178","F","Marine Science","","French","C_009","P_009","French","SMALL","French"
"S_179","F","Animal Studies","Biochemistry","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_180","F","Undecided","","French","C_015","P_015","International Business","SMALL","N/A"
"S_181","F","Marine Science","","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_182","F","Marine Science","Animal Studies","Spanish","C_011","P_011","Literature","SMALL","N/A"
"S_183","M","Psychology","","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_184","F","Marine Science","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_185","F","Marine Science","","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_186","F","Psychology","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_187","M","Theatre","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_188","F","Marine Science","","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_189","F","Marine Science","","Undecided","C_009","P_009","French","SMALL","French"
"S_190","F","Theatre","","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_191","M","Undecided","","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_192","M","Marine Science","","French","C_020","P_020","Sociology","SMALL","N/A"
"S_193","M","Environmental Studies","Environmental Studies","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_194","M","Business Administration","","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_195","F","Animal Studies","","Spanish","C_003","P_003","Political Science","MEDIUM","N/A"
"S_196","F","Marine Science","","Undecided","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_197","F","Biology","Visual Arts","Undecided","C_013","P_013","Computer Science","SMALL","N/A"
"S_198","M","Marine Science","","Italian","C_008","P_008","Economics","SMALL","N/A"
"S_199","F","Marine Science","International Business","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_200","F","Psychology","Biology","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_201","F","Marine Science","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_202","F","Communication","Environmental Studies","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_203","F","Animal Studies","Marine Science","Italian","C_003","P_003","Political Science","MEDIUM","N/A"
"S_204","F","Marine Science","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_205","F","Marine Science","Environmental Studies","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_206","M","Marine Science","Environmental Studies","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_207","M","Undecided","","Italian","C_014","P_014","History","SMALL","N/A"
"S_208","F","Marine Science","Music","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_209","F","Biology","Environmental Studies","French","C_009","P_009","French","SMALL","French"
"S_210","F","Intl Relations/Global Affairs","Animal Studies","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_211","F","Marine Science","Political Science","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_212","F","Marine Science","","Spanish","C_014","P_014","History","SMALL","N/A"
"S_213","F","Marine Science","","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_214","M","Engineering","","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_215","M","Marine Science","","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_216","F","Marine Science","Biology","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_217","F","Marine Science","","Italian","C_008","P_008","Economics","SMALL","N/A"
"S_218","M","Animal Studies","Business Administration","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_219","M","Communication","","Undecided","C_002","P_002","Rhetoric","N/A","N/A"
"S_220","F","Marine Science","","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_221","M","Marine Science","Environmental Studies","Spanish","C_007","P_007","Theatre","SMALL","N/A"
"S_222","F","Undecided","","Arabic","C_014","P_014","History","SMALL","N/A"
"S_223","M","Psychology","","Latin","C_015","P_015","International Business","SMALL","N/A"
"S_224","M","International Business","Animal Studies","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_225","F","Marine Science","Marketing","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_226","F","Marine Science","Biology","Undecided","C_018","P_018","Humanities","SMALL","Greek"
"S_227","M","Animal Studies","Marketing","Undecided","C_020","P_020","Sociology","SMALL","N/A"
"S_228","F","Pre-Medicine","","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_229","F","Undecided","","Spanish","C_009","P_009","French","SMALL","French"
"S_230","F","Psychology","","Undecided","C_009","P_009","French","SMALL","French"
"S_231","F","Animal Studies","Philosophy","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_232","F","Marine Science","Philosophy","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_233","F","International Business","Environmental Studies","Italian","C_009","P_009","French","SMALL","French"
"S_234","M","Marine Science","","French","C_004","P_004","Humanities","SMALL","Greek"
"S_235","M","Marine Science","","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_236","F","Marine Science","","Japanese","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_237","F","Marine Science","","French","C_013","P_013","Computer Science","SMALL","N/A"
"S_238","F","International Business","Spanish","Spanish","C_004","P_004","Humanities","SMALL","Greek"
"S_239","M","Undecided","","Greek","C_008","P_008","Economics","SMALL","N/A"
"S_240","M","Business Administration","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_241","F","Engineering","Communication","Spanish","C_002","P_002","Rhetoric","N/A","N/A"
"S_242","F","Environmental Studies","Communication","Latin","C_014","P_014","History","SMALL","N/A"
"S_243","F","Biology","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_244","F","Marine Science","Animal Studies","Spanish","C_020","P_020","Sociology","SMALL","N/A"
"S_245","F","Marine Science","Animal Studies","Japanese","C_010","P_010","Theatre","SMALL","N/A"
"S_246","F","Undecided","","French","C_017","P_017","Philosophy","SMALL","N/A"
"S_247","M","Marine Science","Biology","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_248","F","Marine Science","Animal Studies","French","C_003","P_003","Political Science","MEDIUM","N/A"
"S_249","F","Psychology","","Undecided","C_014","P_014","History","SMALL","N/A"
"S_250","F","Marine Science","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_251","M","International Business","","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_252","F","Environmental Studies","Psychology","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_253","M","Human Development","Marine Science","Undecided","C_013","P_013","Computer Science","SMALL","N/A"
"S_254","F","Business Administration","","Latin","C_001","P_001","Management","MEDIUM","N/A"
"S_255","F","Music","Marine Science","Japanese","C_013","P_013","Computer Science","SMALL","N/A"
"S_256","F","Marine Science","Theatre","Japanese","C_010","P_010","Theatre","SMALL","N/A"
"S_257","M","Marine Science","","Undecided","C_013","P_013","Computer Science","SMALL","N/A"
"S_258","F","Marine Science","","Undecided","C_015","P_015","International Business","SMALL","N/A"
"S_259","F","Marine Science","Psychology","Undecided","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_260","F","Marine Science","","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_261","F","Marine Science","Animal Studies","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_262","F","Business Administration","Computer Science","Undecided","C_017","P_017","Philosophy","SMALL","N/A"
"S_263","F","Marketing","","Greek","C_009","P_009","French","SMALL","French"
"S_264","F","Marine Science","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_265","M","Environmental Studies","","Spanish","C_004","P_004","Humanities","SMALL","Greek"
"S_266","F","International Business","","Spanish","C_001","P_001","Management","MEDIUM","N/A"
"S_267","M","Marine Science","Spanish","Undecided","C_018","P_018","Humanities","SMALL","Greek"
"S_268","F","Marine Science","Environmental Studies","Italian","C_003","P_003","Political Science","MEDIUM","N/A"
"S_269","F","Marine Science","","Spanish","C_010","P_010","Theatre","SMALL","N/A"
"S_270","F","Undecided","","Arabic","C_011","P_011","Literature","SMALL","N/A"
"S_271","F","Intl Relations/Global Affairs","","French","C_004","P_004","Humanities","SMALL","Greek"
"S_272","M","Marine Science","","Spanish","C_017","P_017","Philosophy","SMALL","N/A"
"S_273","F","Marine Science","Music","Spanish","C_011","P_011","Literature","SMALL","N/A"
"S_274","F","Interdisciplinary Arts","Creative Writing","French","C_018","P_018","Humanities","SMALL","Greek"
"S_275","F","Creative Writing","","Undecided","C_006","P_006","Italian","N/A","Italian"
"S_276","M","Environmental Studies","French","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_277","F","Marine Science","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_278","F","Marine Science","Music","French","C_020","P_020","Sociology","SMALL","N/A"
"S_279","F","Film Studies","","Undecided","C_002","P_002","Rhetoric","N/A","N/A"
"S_280","F","Film Studies","","Chinese","C_005","P_005","Chinese","N/A","Chinese"
"S_281","M","Marine Science","","Spanish","C_017","P_017","Philosophy","SMALL","N/A"
"S_282","M","Marine Science","Biology","Undecided","C_009","P_009","French","SMALL","French"
"S_283","F","Chemistry","","Spanish","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_284","F","Marine Science","","French","C_012","P_012","Rhetoric","N/A","N/A"
"S_285","F","Marine Science","","Chinese","C_005","P_005","Chinese","N/A","Chinese"
"S_286","F","Marine Science","","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_287","F","Marine Science","","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_288","M","Human Development","Animal Studies","Undecided","C_009","P_009","French","SMALL","French"
"S_289","F","Marine Science","","Undecided","C_007","P_007","Theatre","SMALL","N/A"
"S_290","F","Marine Science","","Spanish","C_008","P_008","Economics","SMALL","N/A"
"S_291","F","Marine Science","","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_292","F","Communication","Animal Studies","Spanish","C_014","P_014","History","SMALL","N/A"
"S_293","F","Marine Science","","French","C_005","P_005","Chinese","N/A","Chinese"
"S_294","F","Marine Science","","Undecided","C_001","P_001","Management","MEDIUM","N/A"
"S_295","F","Marine Science","Environmental Studies","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_296","M","Theatre","Environmental Studies","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_297","F","Marine Science","Environmental Studies","French","C_005","P_005","Chinese","N/A","Chinese"
"S_298","M","Marine Science","","Spanish","C_007","P_007","Theatre","SMALL","N/A"
"S_299","M","Animal Studies","","Spanish","C_018","P_018","Humanities","SMALL","Greek"
"S_300","M","Undecided","","Latin","C_018","P_018","Humanities","SMALL","Greek"
"S_301","M","Marine Science","","French","C_011","P_011","Literature","SMALL","N/A"
"S_302","F","Marine Science","Environmental Studies","Undecided","C_005","P_005","Chinese","N/A","Chinese"
"S_303","F","Marine Science","","Spanish","C_015","P_015","International Business","SMALL","N/A"
"S_304","F","Animal Studies","","French","C_002","P_002","Rhetoric","N/A","N/A"
"S_305","M","Music","Marine Science","Spanish","C_013","P_013","Computer Science","SMALL","N/A"
"S_306","F","Biology","","Spanish","C_012","P_012","Rhetoric","N/A","N/A"
"S_307","F","Undecided","","Undecided","C_015","P_015","International Business","SMALL","N/A"
"S_308","M","Animal Studies","","Undecided","C_005","P_005","Chinese","N/A","Chinese"
"S_309","F","Psychology","","Undecided","C_010","P_010","Theatre","SMALL","N/A"
"S_310","M","Political Science","Animal Studies","Undecided","C_003","P_003","Political Science","MEDIUM","N/A"
"S_311","M","Marine Science","Communication","Undecided","C_016","P_016","Creative Writing","MEDIUM","N/A"
"S_312","M","Environmental Studies","Communication","Italian","C_012","P_012","Rhetoric","N/A","N/A"
"S_313","F","Marine Science","","Undecided","C_012","P_012","Rhetoric","N/A","N/A"
"S_314","F","Marine Science","Economics","Undecided","C_013","P_013","Computer Science","SMALL","N/A"
"S_315","F","Marine Science","Environmental Studies","Undecided","C_004","P_004","Humanities","SMALL","Greek"
"S_316","F","Business Administration","Environmental Studies","Spanish","C_014","P_014","History","SMALL","N/A"
"S_317","F","Marine Science","","Spanish","C_012","P_012","Rhetoric","N/A","N/A"
